BBIP_ID,Title,Author,Date,total_words,total_sents,topic_words,topic_sents,religion_words,religion_sents,violence_words,violence_sents,music_words,music_sents,alt_BBIP_IDs,Coll_40_books
60003977,Early Departures,"Reynolds, Justin A.",2020,82497,9325,381,353,115,112,138,131,128,118,,
60003379,None but the Righteous,"James, Chantal",2022,54009,2645,230,199,98,88,70,66,62,53,,
60002851,The Final Revival of Opal & Nev,"Walton, Dawnie",2021,126723,7281,1174,952,250,233,250,229,674,557,,
60001247,Let the Circle be Unbroken,"Taylor, Mildred D.",1981,117977,10019,486,440,263,240,142,134,81,79,,
60003510,Trumpet,"Kay, Jackie",1998,79438,8093,754,672,385,365,101,93,268,245,,
60003722,Interesting Women: Stories,"Lee, Andrea",2002,66862,3248,388,340,148,132,98,95,142,134,,
60003346,The Kindest Lie,"Johnson, Nancy",2021,106848,8342,666,612,252,234,218,215,196,184,,
60003174,The Talking Drum,"Braxton, Lisa",2020,94081,8830,561,526,179,170,96,95,286,273,,
60003948,Song of the Shank,"Allen, Jeffery Renard",2014,186557,13863,1507,1269,412,371,336,303,759,642,60002051.0,
60003180,Sheer Necessity,"Mitchell, Sharon",1999,104974,10046,419,402,122,121,197,193,100,96,,
60003519,The Sculptors of Mapungubwe,"Mda, Zakes",2013,67720,4511,459,396,74,73,171,160,214,178,,
60003941,The Kindred,"Dow, Alechia",2022,101674,9692,576,517,119,110,255,243,202,180,,
60002893,The Conquest: The Story of a Negro Pioneer,"Micheaux, Oscar",1913,87279,3558,394,334,163,138,80,76,151,138,60001058.0,
60003189,The Story of Dorothy Stanfield,"Micheaux, Oscar",1946,139517,8791,472,422,143,133,230,211,99,92,60000276.0,
60003370,House of Stone,"Tshuma, Novuyo Rosa",2018,111446,6782,778,628,333,285,275,239,170,143,,
60003142,God of Mercy,"Nwoka, Okezie",2021,88929,4776,1148,817,782,619,193,170,173,105,,
60003526,Sister Surrogate,"Weaver, LaChelle",2016,63501,4532,272,249,101,94,95,90,76,72,,
60003714,Butterfly 4,"Antoinette, Ashley",2021,106769,10649,715,673,150,148,328,311,237,233,,
60000165,Imperium in Imperio,"Griggs, Sutton Elbert",1899,55799,3037,495,402,222,197,157,137,116,106,,Y
60003384,Boys Come First,"Foley, Aaron",2022,89776,7713,384,351,158,151,97,96,129,119,,
60002858,Girls at War and Other Stories,"Achebe, Chinua",1972,33017,2368,239,215,95,91,72,71,72,62,,
60002860,Freshwater,"Emezi, Akwaeke",2018,61965,4447,446,383,224,208,123,117,99,78,,
60003348,Wench,"Perkins-Valdez, Dolen",2010,78550,6907,285,261,117,110,95,91,73,67,,
60003946,Dangerous Consequences,"Johnson, Lisa Renee",2017,67465,4788,246,234,66,65,99,95,81,80,,
60002894,Anthills of the Savannah,"Achebe, Chinua",1987,83705,5800,581,514,213,195,219,204,149,140,,
60003383,Creatures of Passage,"Yejide, Morowa",2021,86998,6044,444,405,152,141,190,179,102,101,,
60003713,Saturday's Shadows,"Attah, Ayesha Harruna",2015,87931,7221,386,347,148,136,120,119,118,103,,
60003521,Foreigners ,"Phillips, Caryl",2008,74171,3434,410,346,167,153,160,137,83,72,,
60003145,Season of Crimson Blossoms,"Ibrahim, Abubakar Adam",2016,93420,8054,684,601,321,296,253,229,110,103,,
60003979,Decadence ,"Dickey, Eric Jerome",2013,128917,12861,732,635,239,220,194,179,299,261,,
60003377,Wimbey's Corner,"Covin, David",2011,104320,10952,575,530,260,252,210,194,105,101,,
60003126,Harry Sylvester Bird,"Okparanta, Chinelo",2022,89540,7280,373,336,112,103,137,131,124,113,,
60003314,A Pinch of Ooh La La,"Swindle, Renee",2014,92546,9151,783,694,299,288,143,139,341,286,,
60003770,The Passport of Mallam Ilia,"Ekwensi, Cyprian",1960,16703,1292,152,135,36,33,101,95,15,13,,
60003542,Jelly Roll,"Sutherland, Luke",1998,105938,10365,678,601,111,106,167,163,400,362,,
60003784,The Goddess Twins,"Williams, Yodassa",2020,54586,4785,384,349,135,130,139,131,110,102,,
60003119,Keeping Secrets: A Gianna Maglione Mystery,"Mickelbury, Penny",1994,47966,3165,412,351,96,87,252,224,64,60,,
60003925,Easy Motion Tourist,"Adenle, Leye",2016,85559,8135,572,506,139,130,358,317,75,73,,
60002803,Everything Inside,"Danticat, Edwidge",2019,57636,3649,308,260,112,100,50,49,146,127,,
60003589,Life After Death,"Souljah, Sister",2021,126433,10860,1188,995,546,454,344,316,298,264,,
60003783,A Trail of Crab Tracks,"Nganang, Patrice",2022,126433,10860,1188,995,546,454,344,316,298,264,,
60003545,Lament for an African Pol,"Beti, Mongo",1985,138539,5569,1083,872,406,340,453,390,224,206,,
60003777,The Palm-Wine Drinkard,"Tutuola, Amos",1952,38731,1062,227,158,64,57,80,62,83,46,,
60003313,As the Crow Flies,"Tadjo, Veronique",1992,18782,1848,130,123,29,30,54,54,47,46,,
60003121,God's Bits of Wood,"SembÂne, Ousmane",1960,107770,6899,658,571,246,220,230,212,182,161,,
60002804,An Open Weave,"Major, Devorah",1995,60898,4029,250,229,98,94,46,44,106,96,,
60003117,Those Other People,"Childress, Alice",1989,46518,4522,243,231,56,55,78,79,109,106,,
60002832,Delicious,"Lewis, Shelby",1996,46797,3895,320,299,96,91,143,139,81,80,,
60000759,Divine Days,"Forrest, Leon",1993,526307,27062,6071,4738,2855,2354,1303,1183,1913,1675,,Y
60003128,Addis Ababa Noir,"Mengiste, Maaza",2020,67076,4913,408,371,140,135,153,146,115,103,,
60003110,"Yinka, Where Is Your Huzband","Blackburn, Lizzie Damilola",2021,97176,11091,604,550,376,348,102,100,126,117,,
60002835,Open Water,"Nelson, Caleb Azumah",2021,43805,3698,351,301,75,73,97,90,179,155,,
60002895,"The Ecstatic: Or, Homunculus: A Novel","LaValle, Victor D.",2002,71572,6804,344,310,166,145,93,94,85,83,,
60003144,Business Not as Usual,"Cooper, Sharon C.",2022,91878,7860,306,296,101,100,91,92,114,111,,
60002866,The Glory of Love,"Louise, Kim",2003,94482,9330,502,462,132,128,255,236,115,108,,
60000967,Great Gittin' Up Morning,"Killens, John Oliver",1972,35476,2411,429,351,272,221,111,102,46,43,,Y
60002892,Even in Paradise,"Nunez, Elizabeth",2016,91379,7304,542,460,182,153,149,139,211,180,,
60002859,Beyond the Limbo Silence,"Nunez, Elizabeth",1998,98760,9103,618,524,248,229,223,185,147,135,,
60003143,Man of the House,"Mason, Felicia; Byrd, Adrianne; Johnson, Doris",1998,106089,10369,633,601,338,334,156,153,139,132,,
60001042,Banjo,"McKay, Claude",1929,94763,6361,709,586,129,127,169,155,411,328,,Y
60002850,Honey Girl,"Rogers, Morgan",2021,83944,8784,337,318,115,115,125,119,97,89,,
60002857,Things Fall Apart,"Achebe, Chinua",1958,52149,3794,619,520,310,274,181,168,128,111,,
60001073,Love,"Morrison, Toni",2003,62128,4959,360,325,99,98,136,128,125,110,,Y
60000703,The Sport of the Gods,"Dunbar, Paul Laurence",1901,156542,8629,1267,1020,370,337,325,298,572,467,60000116.0,Y
60002770,Close to the Bone,"Lamar, Jake",1998,107406,8532,820,735,357,331,225,217,238,220,60002914.0,
60002784,Deceit and Devotion,"Johnson, RM",2012,71509,6793,250,238,55,55,177,167,18,19,,
60003000,Jade,"King-Gamble, Marcia",2002,84617,8598,292,284,107,105,99,98,86,86,,
60002925,Under the Tongue,"Vera, Yvonne",1996,30697,2572,156,147,22,23,70,70,64,58,,
60002783,Broken Ranks,"King, Hiram",2001,112468,10435,615,571,40,41,476,451,99,94,,
60002777,A Dangerous Deception,"Jeffries, J.M.",2001,73710,7513,376,359,79,78,240,230,57,57,,
60003038,Too Beautiful to Die: A Novel,"Lovell, Glenville",2003,81211,8439,598,548,163,157,272,261,163,146,,
60002922,The Cradle Robbers: Misdemeanor,"Lewis, Tanya Marie",2002,34653,2605,299,273,254,235,21,21,24,22,,
60003031,Wahala: A Novel,"May, Nikki",2022,96117,11714,492,454,144,138,204,195,144,133,,
60002914,Close to the Bone,"Lamar, Jake",1998,107415,8570,820,737,357,331,225,217,238,221,60002770.0,
60002913,Finding Makeba,"Pate, Alexs D.",1996,76971,8132,323,312,88,85,126,125,109,105,,
60002779,Taking Care of Business,"Lovely, Lutishia",2012,92499,7763,413,392,165,162,110,107,138,133,,
60003009,Love Everlasting ,"Kitt, Sandra",1992,60446,5293,265,252,64,65,76,75,125,120,,
60002947,No One Is Coming to Save Us: A Novel,"Watts, Stephanie Powell",2017,107148,9644,411,374,130,124,158,151,123,111,,
60003096,The Memory of Love,"Forna, Aminatta",2010,176096,16022,719,677,179,173,249,237,291,277,,
60003062,On Beauty,"Smith, Zadie",2005,162040,13578,1405,1241,771,715,216,204,418,361,,
60001163,Flight to Canada,"Reed, Ishmael",1976,50958,5159,352,309,149,132,85,83,118,105,60001171.0,
60002940,Love Like Gumbo,"Rawles, Nancy",1997,79964,7309,1193,1075,915,857,164,156,114,108,,
60003065,Autumn Leaves: Love So Deep,"McGlothin, Victor",1998,106625,8676,404,371,97,92,137,134,170,155,,
60003091,Faceless,"Darko, Amma",2003,62516,6188,326,289,170,154,109,104,47,46,,
60002982,The Baby Who Knew Too Much,"Johnson, Georgia",1993,49802,4677,303,282,56,55,149,143,98,96,,
60002976,He Sleeps,"McKnight, Reginald",2001,69978,5537,360,326,167,155,112,111,81,74,,
60003098,The Conductors,"Glover, Nicole",2021,120805,10829,628,581,121,120,279,266,228,213,,
60000246,The Prince of Washington Square,"Liscomb, Harry F.",1925,25638,1123,237,204,26,26,94,87,117,107,,
60002949,Six Out Seven,"Mowry, Jess",1993,188030,19335,968,907,242,239,568,536,158,155,,
60002971,Black Deutschland,"Pinckney, Darryl",2016,99450,6216,666,581,191,177,167,160,308,270,,
60002985,When We Practice to Deceive,"Mallette, Gloria",1995,56712,4883,247,230,60,56,143,138,44,44,,
60003037,The Violin Conspiracy,"Slocumb, Brendan",2022,107503,9505,1574,1340,61,62,70,68,1443,1236,,
60002912,Wizard of the Crow,"Thiong'o, Ngugi wa",2004,287013,18568,2157,1751,1076,864,531,498,550,497,,
60002778,White Lies,"Johnson, Doris",1998,101860,9561,477,444,181,177,195,183,101,95,,
60001131,The Learning Tree,"Parks, Gordon",1963,90830,8415,522,460,182,165,241,226,99,85,,Y
60003030,The Three Mrs. Greys,"Ellis, Shelly",2021,85503,7832,321,297,52,51,193,176,76,74,,
60002915,Dominion,"Baker, Calvin",2006,140652,6861,646,567,294,256,237,225,115,102,,
60002776,Night and Day,"Johnson, Doris",1997,94495,8906,390,377,146,146,144,143,100,98,,
60003006,Plenty Good Room,"McClain-Watson, Teresa",1997,80290,7051,423,372,201,176,155,152,67,57,,
60002782,Do Platanos Go Wit' Collard Greens?,"Lamb, David",1994,35886,2036,244,210,99,82,102,98,43,43,,
60002923,What the Fireflies Knew,"Harris, Kai",2022,87202,6771,366,328,171,159,75,72,120,107,,
60003039,Surrender,"Jackson, Brenda",2001,72006,6075,264,241,95,89,83,80,86,80,,
60002785,In the Arms of One Who Loves Me,"LaMon, Jacqueline Jones",2002,102326,9862,618,569,243,231,113,111,262,244,,
60003001,Before the Dawn,"Jenkins, Beverly",2001,110594,10105,597,543,207,197,241,224,149,144,,
60002771,One Dead Doctor,"Lindsay, Tony",2012,44283,3747,317,297,123,114,137,134,57,56,,
60002924,A Beautiful Place To Die,"Nunn, Malla",2008,111523,10529,698,633,265,254,334,311,99,94,,
60002984,True Devotion,"Louise, Kim",2002,85972,8454,385,357,140,137,109,105,136,126,,
60002970,The Joys of Motherhood,"Emecheta, Buchi",1979,91080,6198,523,471,247,228,168,156,108,100,,
60003055,Destiny's Song,"Louise, Kim",2000,85600,8049,639,567,106,100,143,141,390,341,,
60003099,Catherine House,"Thomas, Elisabeth",2020,89273,10197,366,341,98,95,106,106,162,149,,
60002977,Lady Moses: A Novel,"Roy, Lucinda",1998,151738,14958,923,827,320,294,316,302,287,258,,
60002983,From Colored Water 'til Now,"Lawson, Mattie M",1994,49558,3729,303,268,146,134,69,67,88,76,,
60002948,Beowulf's Children,"Niven, Larry; Pournelle, Jerry; Barnes, Steven",1995,162226,17559,929,844,345,322,407,383,177,163,,
60003052,Until,"McCann, Timmothy B.",1999,99176,7920,444,420,180,177,100,99,164,157,,
60002941,Black Mamba Boy,"Mohamed, Nadifa",2010,86927,4526,672,574,237,213,231,215,204,171,,
60003090,Not Without Flowers,"Darko, Amma",2007,102081,9742,696,611,401,350,173,168,122,117,,
60003064,The Year of the Witching,"Henderson, Alexis",2020,105004,7919,980,853,499,460,342,325,139,121,,
60002946,The Rib King: a novel,"Hubbard, Ladee",2021,98812,9083,343,322,57,56,142,139,144,135,,
60003063,All the Lonely People,"Gayle, Mike",2021,121541,7570,430,384,170,161,113,112,147,124,,
60003097,Ramadan Ramsey,"Edwards, Louis",2021,110712,8609,740,637,304,262,231,217,205,180,,
60002979,Lazaretto: A Novel,"McKinney-Whetstone, Diane",2016,109004,6716,720,611,197,180,240,229,283,237,,
60003041,Every Friday Night: My Year of Dating Misadventures,"McLaughlin, Ritta",2003,52734,4487,297,266,129,115,51,52,117,105,,
60002990,Rendezvous Eighteenth,"Lamar, Jake",2003,109573,8904,726,665,197,188,272,261,257,235,,
60002964,Lost Hearts in Italy,"Lee, Andrea",2006,83480,4880,564,507,227,211,167,158,170,161,,
60003046,Driving Under the Cardboard Pines and Other Stories,"Colleen, Mcelroy",1990,154352,10897,810,709,210,182,209,200,391,349,,
60002963,Water Street,"WIlkinson, Crystal E.",2002,49671,3707,245,220,129,119,43,43,73,66,,
60000896,Midnight Robber,"Hopkinson, Nalo",2000,110772,10464,582,541,96,94,253,244,233,213,,Y
60003079,She Plays with the Darkness,"Mda, Zakes",1995,77223,5698,635,547,194,178,149,143,292,238,,
60002997,Echoes of a Distant Summer: A Novel,"Johnson, Guy",2002,281885,22775,2165,1979,408,388,1435,1317,322,314,,
60003084,Deliah's Daughters: A Novel,"Benson, Angela",2014,89595,9069,399,367,111,106,56,57,232,212,,
60003070,Ways of Dying,"Mda, Zakes",1995,70226,5037,566,471,240,211,159,150,167,130,,
60002955,Rosewater,"Thompson, Tade",2017,112438,10984,815,747,254,237,405,379,156,143,,
60003077,My Monticello,"Johnson, Jocelyn Nicole",2021,66550,4399,417,382,84,83,148,141,185,171,,
60002999,Third Ward Newark,"Lucas, Curtis",1946,59457,6186,280,255,46,47,142,133,92,81,,
60003083,The Famished Road,"Okri, Ben",1991,183724,16589,1786,1570,255,242,580,547,951,852,,
60003048,Forbidden Heart,"Mason, Felicia",1998,50832,4861,237,227,68,66,114,109,55,56,,
60002952,Whispers in the Night,"Love, Dorothy Elizabeth",1999,88011,7994,417,383,98,97,125,121,194,175,,
60002798,The Proposal,"Guillory, Jasmine",2018,94014,8550,423,409,195,194,146,140,82,81,60001898.0,
60002906,Anna In-Between,"Nunez, Elizabeth",2009,91106,8682,518,481,254,242,129,121,135,131,,
60003023,Yonder,"Asim, Jabari",2022,65177,5404,412,372,153,145,147,144,112,101,,
60002901,Praise Song for the Butterflies,"McFadden, Bernice L.",2018,50537,4146,301,248,133,105,95,88,73,67,,
60002754,While We Were Dating,"Guillory, Jasmine",2021,104243,9162,341,324,158,156,60,61,123,115,60001918.0,
60003024,Mom Jeans and Other Mistakes,"Martin, Alexa",2021,114027,9300,479,456,120,119,239,233,120,119,,
60002937,Radcliff #3: Double Trouble,"Mallory, Roosevelt",1974,63532,5792,353,321,53,51,224,207,76,73,,
60002908,Prospero's Daughter: A Novel,"Nunez, Elizabeth",2006,111184,9248,605,519,204,183,228,209,173,146,,
60003012,One Day I Saw a Black King,"Mason, J.D.",2003,109497,10993,495,455,201,195,159,153,135,123,,
60002796,Eve's Prescription,"Martin-Arnold, Edwina",2000,78890,6778,418,389,116,111,183,171,119,114,,
60002930,We Ride Upon Sticks,"Barry, Quan",2020,135101,9418,736,638,237,213,179,177,320,280,,
60002791,And All Our Wounds Forgiven,"Lester, Julius",1994,66816,6167,490,434,155,147,242,212,93,88,,
60003015,Farewell to the Mockingbirds,"McEachin, James",1997,147744,12373,852,756,183,162,385,364,284,246,,
60002765,Dr. Feelgood,"Keyes, Christian",2016,65796,5845,262,240,102,99,95,87,65,63,,
60003082,Small Island,"Levy, Andrea",2004,152961,14177,734,666,290,263,274,263,170,160,,
60002998,Dating Games: A Novel,"Johnson, RM",2003,113735,9129,392,364,59,58,246,225,87,86,,
60003076,Where We End & Begin,"Igharo, Jane",2022,83898,9713,341,311,154,139,104,97,83,81,,
60002953,Falling Leaves of Ivy,"Joe, Yolanda",1992,103594,10607,498,464,161,156,240,233,97,83,,
60003049,Seduction,"Mason, Felicia",1996,88042,8274,374,353,121,117,168,162,85,82,,
60003071,Why Don't You Carve Other Animals,"Vera, Yvonne",1992,31390,2355,160,147,24,23,75,74,61,54,,
60003085,Flowers for the Sea,"Rocklyn, Zin E.",2021,20023,1665,141,131,31,30,85,79,25,26,,
60002954,The Great Mrs. Elias: A Novel Based on a True Story,"Chase-Riboud, Barbara",2022,124380,9162,1021,867,450,423,322,299,249,192,,
60003047,Blight: a novel,"Melhem, D.H.",1995,34553,3510,158,152,42,40,85,84,31,31,,
60001374,Native Son,"Wright, Richard",1940,152696,13583,995,867,204,192,648,569,143,136,,Y
60002996,Mama's Girls,"Louard, Janette McCarthy",2002,85797,7138,500,464,236,222,163,159,101,98,,
60003078,The Whale Caller,"Mda, Zakes",2005,78782,6139,629,528,135,121,176,169,318,263,,
60002962,Two Cities,"Wideman, John Edgar",1998,78690,6399,538,446,160,140,216,195,162,123,,
60003286,Stay With Me,"Abedayo, Ayobami",2017,77986,5951,410,372,178,166,132,123,100,94,,Y
60003040,Mr. Loverman,"Evaristo, Bernardine",2014,84776,5355,559,428,261,199,143,134,155,132,,
60002965,Taming It Down,"McLarin, Kim",1998,98880,8561,709,617,350,314,187,178,172,148,,
60002991,Sonny Jim of Sandy Point,"Jones-Hendrickson, J.B.",1991,79951,7259,532,431,284,225,118,111,130,113,,
60002931,The Book of Not,"Dangarembga, Tsitsi",2006,89699,5909,435,385,95,91,190,178,150,135,,
60002764,Bloodchild and Other Stories,"Butler, Octavia E.",1995,34799,3386,191,176,43,43,125,116,23,24,,
60002790,Known to Evil,"Mosley, Walter",2010,85363,7804,443,418,106,99,206,197,131,129,60001960.0,
60003014,Night Songs: A Gianna Maglione Mystery,"Mickelbury, Penny",1995,57315,3649,433,375,78,72,286,249,69,69,,
60002936,All For Love,"MaÂees, Raynetta",1997,97167,9157,580,523,151,147,90,90,339,300,,
60003013,Somebody Pick Up My Pieces,"Mason, J.D.",2011,79753,7351,325,301,109,100,152,150,64,63,,
60002797,Silver Sparrow,"Jones, Tayari",2011,94501,8109,366,345,144,139,96,95,126,119,60001964.0,
60002763,In the Fall,"Lent, Jeffrey",2000,231760,17783,828,755,185,176,399,377,244,226,,
60002909,Popisho,"Ross, Leone",2021,124950,12465,908,797,420,389,236,224,252,230,,
60000662,My Lives and How I Lost Them,"Cullen, Countee",1942,46872,2881,148,140,35,36,42,42,71,65,,Y
60002900,Unfortunate Marriage of Azeb Yitades,"Mezlekia, Nega",2006,104204,5786,967,810,538,474,251,235,178,159,,
60003025,When No One Is Watching ,"Cole, Alyssa",2020,93262,7025,415,378,89,85,221,204,105,98,,
60002755,Mr. Fox,"Oyeyemi, Helen",2011,79656,6409,388,354,104,103,154,145,130,116,60001875.0,
60002907,A Man of the People,"Achebe, Chinua",1966,51915,3473,283,253,99,92,111,101,73,68,,
60002799,The Deep,"Solomon, Rivers",2019,41325,3555,188,177,43,40,83,81,62,59,,
60002938,Conjure Women,"Atakora, Afia",2020,121231,8133,729,638,320,297,204,197,205,173,,
60003022,And the Girls in Their Sunday Dresses,"Mda, Zakes",1993,40443,4322,398,348,79,78,136,131,183,148,,
60003150,The Book of Phoenix,"Okorafor, Nnedi",2015,81366,8305,390,358,140,127,180,174,70,68,,
60002875,West of Rehoboth,"Pate, Alexs D.",2001,75856,7369,394,370,102,99,151,148,141,130,,
60002049,The Foxes of Harrow,"Yerby, Frank",1946,176712,16769,1210,1097,499,472,410,383,301,275,,Y
60000726,Zulus,"Everett, Percival L.",1990,72342,4324,332,276,110,99,111,103,111,95,,Y
60003157,Tumbling,"McKinney-Whetstone, Diane",1996,133539,9696,1073,923,563,510,229,212,281,244,,
60002872,Bruised Hibiscus,"Nunez, Elizabeth",1994,105829,8289,723,617,305,268,351,313,67,66,,
60000719,Invisible Man,"Ellison, Ralph",1952,181942,14112,1317,1089,471,429,432,392,414,325,,Y
60002886,A Death in Harlem,"Holloway, Karla FC",2019,87470,5970,318,292,154,145,70,68,94,92,60001891.0,
60003161,Black Orchid Blues,"Walker, Persia",2011,82153,8944,385,362,67,65,214,208,104,97,,
60002844,Lot,"Washington, Bryan",2019,53485,4643,293,270,45,45,186,174,62,58,,
60002888,Nightcrawling,"Mottley, Leila",2022,98428,6105,382,342,74,72,145,135,163,146,,
60003166,The Birds of Opulence,"WIlkinson, Crystal E.",2016,46535,3164,226,201,126,111,45,46,55,53,,
60003159,Low Down and Dirty: A Novel,"Stringer, Vickie M.",2012,86401,8578,320,308,80,80,151,146,89,88,,
60002843,Memorial,"Washington, Bryan",2020,77944,8257,191,186,49,50,83,81,59,58,,
60003132,The Flip Side of Sin,"McMillan, Rosalyn",2000,132112,11491,1092,965,612,538,201,194,279,259,,
60002828,After the Dance,"Danticat, Edwidge",2002,29662,1378,286,210,107,83,28,26,151,116,,
60002810,Weeping Willows Dance,"Mallette, Gloria",2001,114129,9684,773,718,532,495,195,188,46,46,,
60000744,The Conjure-Man Dies: A Mystery Tale of Dark Harlem,"Fisher, Rudolph",1932,75151,6476,651,596,126,118,417,400,108,96,,
60003135,The Selfless Act Of Breathing,"Bola, JJ",2022,75462,6295,458,372,170,149,137,107,151,129,,
60002826,Revival Season,"West, Monica",2021,84480,5326,797,670,554,474,118,117,125,114,,
60002819,"Take a Hint, Dani Brown","Hibbert, Talia",2020,93335,8294,408,383,146,140,150,148,112,110,,
60003103,The Honey Well,"Mallette, Gloria",2003,90498,8527,526,491,167,157,215,210,144,133,,
60002687,Through the Storm,"Jenkins, Beverly",1998,114727,9503,549,520,202,196,209,209,138,131,,Y
60002821,Wishing on a Star,"MaÂees, Raynetta",1997,88406,8322,427,389,80,80,122,119,225,197,,
60003104,Every Woman's Dream,"Monroe, Mary",2016,116615,8732,541,508,156,148,182,179,203,192,,
60003167,Three Rooms,"Hamya, Jo",2021,55419,3640,187,171,52,50,50,50,85,78,,
60002889,We Are Taking Only What We Need,"Watts, Stephanie Powell",2011,61688,4634,297,255,124,112,93,87,80,67,,
60002842,The Art of Death,"Danticat, Edwidge",2017,41854,2264,556,434,275,234,158,134,123,100,,
60003158,How to Read the Air,"Mengestu, Dinaw",2010,92655,4522,294,259,94,85,130,121,70,60,,
60003160,The Daughter of Union County,"Howard, Francine Thomas",2016,134658,13902,1017,928,717,664,182,176,118,116,,
60002887,Dele Weds Destiny,"Obaro, Tomi",2022,77575,5964,549,458,193,170,125,118,231,201,,
60002873,The Homesteader: A Novel,"Micheaux, Oscar",1917,145645,9647,632,559,324,297,196,182,112,104,60000275.0,
60003151,I Do Not Come to You By Chance,"Nwaubani, Adaobi Tricia",2009,106987,9255,616,549,367,334,119,113,130,125,,
60002874,A Woman of Endurance,"Llanos-Figueroa, Dahlma",2022,105548,8743,632,559,130,125,326,290,176,162,,
60002880,Suddenly,"Kitt, Sandra",1995,78194,7397,219,211,73,74,58,55,88,85,,
